instanceID, capacity, shortageCost, simulatedSolutionValue, N_LD_initial, N_LD_final, N_LD_max, N_start, N_last, N_attempts, phase0StopReason, N_phase1, Mfinal, relGap1, relGap2, phase1StopReason, solutionTimeMs,instance,n_items,coeff_of_var
cd05356994028bbcfb3cd85077528a810a4421dea141977681235c2206fdf753,116.10846413274392,10.0,356.87907572732547,1688880,0,1688880,64,128,2, SUCCESS_SIGMA2ZERO,128,79,7.053267318397945e-05,6.678764079128686e-05, CERTIFIED,68000,P05_UNCORRELATED,25,0.1
f7217ac5ba7d75616b2bc37f0186f65ee3b27e21f8ce2f252b23012e8db311fa,260.2867799458042,10.0,506.783654554933,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,1000,0.000340783659207439,7.915283637045395e-16, MMAX,441000,P05_UNCORRELATED,25,0.1
b04fa84a74ce1b7da7f7a33d3e669d54879e3117ced5594de7cff9c954d0da94,330.7185220868661,10.0,575.073651320219,9356981,0,9356981,64,2048,6, SUCCESS_SIGMA2ZERO,2048,39,9.76162770829464e-05,7.783245410102444e-16, CERTIFIED,93000,P05_UNCORRELATED,25,0.1
dc386dba03117d503f35dd52d60831090f07a4c07cb7c4ccf223f5481f96368a,508.0002450797488,10.0,810.7052413187714,4393009,0,6688593,64,512,4, SUCCESS_SIGMA2ZERO,512,38,4.317160252434088e-05,4.905715648320947e-15, CERTIFIED,85000,P05_UNCORRELATED,25,0.1
0e9c71196a05a749fedf6ec7ce931e2240658ec5e11af5378e8d3377d94f972c,507.9358508990788,10.0,911.0231448236832,855673,0,855673,64,128,2, SUCCESS_SIGMA2ZERO,128,61,9.9330733569786e-05,2.22495914862275e-15, CERTIFIED,92000,P05_UNCORRELATED,25,0.1
cf3241e529381952404c6a26a183fe909603e331b0ebad2bb8397f14cb3cda06,677.2632613258763,10.0,1023.9141909388834,1168560,0,2652189,64,1024,5, SUCCESS_SIGMA2ZERO,1024,39,5.135663507114038e-05,-5.708251252293865e-15, CERTIFIED,83000,P05_UNCORRELATED,25,0.1
10e692be69e1e7b33f4b0aa9212b1943a286ad25ab1d6d104ca72c63268bca62,858.9901041571254,10.0,1197.892486655629,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,224,2.859062417308916e-05,2.122928050563295e-16, CERTIFIED,226000,P05_UNCORRELATED,25,0.1
f98d7f949749554f8fdbb95e88b6e4729d0e78aa5785a4b18569cd333ff9ca6a,997.9619811631276,10.0,1328.5086117439298,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,66,9.337337387736304e-05,5.220448635343172e-16, CERTIFIED,107000,P05_UNCORRELATED,25,0.1
8be4d492666231ae10b052b7dd31b4d00bc7cd1046a31a8fe18322b7f65ca1e1,1064.6533536483,10.0,1258.5715228312254,6011003,0,10337933,64,1024,5, SUCCESS_SIGMA2ZERO,1024,50,8.951169239998677e-05,1.913028194452852e-13, CERTIFIED,107000,P05_UNCORRELATED,25,0.1
f1137bd732bbd6002a981a1b4a4929908cecb1e35f73ed437981fd93a4600b9b,1133.3468785043312,10.0,1193.3014863650635,2578917,0,3852078,64,2048,6, SUCCESS_SIGMA2ZERO,2048,37,2.578390811857789e-05,2.7340348568686454e-14, CERTIFIED,113000,P05_UNCORRELATED,25,0.1
d7209ea6140aa2519d8e33b18ec7370bb1458bea470127d13ab17d03fc93cc1f,116.10846413274392,10.0,343.6825499746653,70991390,0,77509958,64,512,4, SUCCESS_SIGMA2ZERO,512,317,-0.00032516528401017587,2.565465953544942e-15, CERTIFIED,253000,P05_UNCORRELATED,25,0.2
031e3a5b6ebd36b46b12e07347b4c850103ef706842a636e1538e5a5494dd623,260.2867799458042,10.0,492.5952568704591,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,1000,0.0004906811897676991,6.53359349014697e-05, MMAX,496000,P05_UNCORRELATED,25,0.2
b6d756c4cc538e4e34b620a75676f0ac36129976c433f3e06a3d9e5ddfd79061,330.7185220868661,10.0,551.1530036334766,51025636,0,94859070,64,512,4, SUCCESS_SIGMA2ZERO,512,625,9.402514276783448e-05,-2.660912668630265e-15, CERTIFIED,436000,P05_UNCORRELATED,25,0.2
419f68e9213eb413f4119c89a08a7d68767462bc2fc76930e07249d8787f5ad7,508.0002450797488,10.0,786.1429135755147,66188438,0,66188438,64,8192,8, SUCCESS_SIGMA2ZERO,8192,32,5.819959425196551e-05,2.2637982580170172e-14, CERTIFIED,229000,P05_UNCORRELATED,25,0.2
5cf0cd08ab010a322797016ca01db80d6c8c0f9d89dd496ef5b0e5bad768f92e,507.9358508990788,10.0,891.6515283065112,23548884,0,45614768,64,1024,5, SUCCESS_SIGMA2ZERO,1024,115,8.964113876567586e-05,1.9995594900269723e-05, CERTIFIED,196000,P05_UNCORRELATED,25,0.2
def104442f6e849308cf23207980b83a0d78e1b91e07553d2b6cda4a7ca5913e,677.2632613258763,10.0,998.6982770180944,22212853,0,29705545,64,2048,6, SUCCESS_SIGMA2ZERO,2048,83,9.483112206713904e-05,1.1880265111500464e-05, CERTIFIED,196000,P05_UNCORRELATED,25,0.2
0a2dcdf00882e5c3b82e3ab0d80f003186ce207171d82c0779636980b60aa7a3,858.9901041571254,10.0,1162.2779012690205,17551252,0,19631036,64,256,3, SUCCESS_SIGMA2ZERO,256,79,4.444150408391948e-05,2.557853341975586e-05, CERTIFIED,149000,P05_UNCORRELATED,25,0.2
a6c57404b7ebbedc4003ac2cfb3a960fee7f2a3f210072b362918461a9080b6a,997.9619811631276,10.0,1304.72390891811,39430374,0,44536040,64,2048,6, SUCCESS_SIGMA2ZERO,2048,177,9.846053156794468e-05,1.7040497165006445e-05, CERTIFIED,305000,P05_UNCORRELATED,25,0.2
71b9ed199c612ac0a9ad290943b7e539d46175fc74849608c5393b56faf69104,1064.6533536483,10.0,1236.2498457797649,33787311,0,79770849,64,1024,5, SUCCESS_SIGMA2ZERO,1024,119,7.893873538606519e-05,7.35777389968424e-06, CERTIFIED,223000,P05_UNCORRELATED,25,0.2
a3a35592dfe81993b11ff4d93952d6993a3d26ee384a9aca97377e9188544330,1133.3468785043312,10.0,1185.7804332902715,17478491,0,19326120,64,256,3, SUCCESS_SIGMA2ZERO,256,113,1.45923192150098e-05,6.120430589743681e-05, CERTIFIED,212000,P05_UNCORRELATED,25,0.2
f3cc47b06c3a37b1c3122d6ff8740e197134a9bd1e0005708274ed5bf24e4aec,230.46228554236768,10.0,861.1011075110519,5071135,0,5071135,64,128,2, SUCCESS_SIGMA2ZERO,128,85,9.01611761771827e-05,-1.5120187847900779e-15, CERTIFIED,132000,P05_UNCORRELATED,50,0.1
f365d37793eae7ecfa74303626b0e057dcfdd3c64f5fb8ddf1abab3f91296797,488.9862060562209,10.0,944.6208861131826,14242394,0,14242394,64,2048,6, SUCCESS_SIGMA2ZERO,2048,46,9.242066305498092e-05,-4.0240367643445835e-17, CERTIFIED,120000,P05_UNCORRELATED,50,0.1
f18e504b48fdbadfaba22b57fc59e26cfb9fd6fcc2556ecfc1f594bbac0bf6c4,673.2803881476872,10.0,1238.7595275270178,2917478,0,9145748,64,4096,7, SUCCESS_SIGMA2ZERO,4096,44,5.01130116950062e-05,1.831225457920688e-05, CERTIFIED,164000,P05_UNCORRELATED,50,0.1
7ffa7206751e7139c19957f001e6963a1b209a9d9ff01a9d1f0f051767a5fb2d,1006.8072113503724,10.0,1723.0684460187151,2321400,0,2627406,64,4096,7, SUCCESS_SIGMA2ZERO,4096,34,6.800702479097278e-05,6.135549300412536e-17, CERTIFIED,174000,P05_UNCORRELATED,50,0.1
6fa1008e1cc1aa6541f7db681dadde9517447fe1db41220aa4a108c5efc529ca,1119.6345765103188,10.0,1892.082435515652,2370934,0,5740578,64,8192,8, SUCCESS_SIGMA2ZERO,8192,37,7.618859343083743e-05,-1.2236134044516916e-13, CERTIFIED,356000,P05_UNCORRELATED,50,0.1
def892a0afa62dcd9d7b4a1bde69efca1c9a07f6667950d44c799d558f9fddad,1338.503155357442,10.0,1898.4070158300333,2107487,2580324,4618617,64,16384,9, TIMEOUT,16384,32,0.00015704623946673535,-1.1296128450343089e-13, TIMEOUT,766000,P05_UNCORRELATED,50,0.1
d9cd2d5d1a7b9a1af60f7538154de1317dc341ab84bd1969846aa3ca9bcb18c3,1525.452019385088,10.0,2056.96300600064,295442,0,906945,64,8192,8, SUCCESS_SIGMA2ZERO,8192,32,7.714519305578152e-05,-7.25551201198257e-14, CERTIFIED,292000,P05_UNCORRELATED,50,0.1
109d8ebafe8dc2cfa47240a148b69a8bcb23af3f2a7efa37f99ce7d5c97f0469,1785.3808284860645,10.0,2363.2541196508832,3886149,0,4840183,64,2048,6, SUCCESS_SIGMA2ZERO,2048,33,6.267182802284136e-05,1.7636234514995189e-15, CERTIFIED,154000,P05_UNCORRELATED,50,0.1
0b0c5f314839d164f0815d243ab9af796cee37f462344b4a50039c0e9d0e23e5,2050.164544284524,10.0,2200.927592961819,3690067,0,3690067,64,512,4, SUCCESS_SIGMA2ZERO,512,32,9.1422714970173e-05,5.407809419511217e-15, CERTIFIED,157000,P05_UNCORRELATED,50,0.1
d85f2d7dc4f595ee123230188dffbda13e94c4472aac9fd7934948918560a0f8,2281.227024915277,10.0,2662.042067892288,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,138,9.879973747699873e-05,-5.488977748523079e-16, CERTIFIED,306000,P05_UNCORRELATED,50,0.1
05040d9b1acea46156bf8a5d47d51caa36dacc99b8291682c2f2881b1b6d5792,230.46228554236768,10.0,844.4401048155211,24325367,22562539,29756651,64,16384,9, NCAP,16384,32,0.0002603505993023657,1.684382842365639e-07, TIMEOUT,1217000,P05_UNCORRELATED,50,0.2
b34d0a6e631f086df556dae856e7f712f0ed405e4dc340db0dd61453b2f73e8c,488.9862060562209,10.0,910.903226292767,63625055,14159494,107513447,64,16384,9, NCAP,16384,32,0.0005622923729984706,2.127666628211104e-05, TIMEOUT,1073000,P05_UNCORRELATED,50,0.2
c70b554afc94c9c989c29bd3f3dbf9308d730e7aee6dd40c3ae0d9ae71060af0,673.2803881476872,10.0,1207.066350618309,45758824,0,65768429,64,8192,8, SUCCESS_SIGMA2ZERO,8192,34,9.375482470338368e-05,-3.3041422666067413e-15, CERTIFIED,429000,P05_UNCORRELATED,50,0.2
2d53daad8f6c44173d3bb20a5c56f295f6f5fd11867eaadfc1582445a955e9b6,1006.8072113503724,10.0,1683.3613288252602,35644368,0,35644368,64,2048,6, SUCCESS_SIGMA2ZERO,2048,37,2.9256048227095293e-05,-3.145338747842084e-14, CERTIFIED,201000,P05_UNCORRELATED,50,0.2
632a1895153a39cd75faea70d86235c459305cc1bdd7453e9aaa8fb8f6b7d5e7,1119.6345765103188,10.0,1854.8524248236208,4715483,0,35195097,64,4096,7, SUCCESS_SIGMA2ZERO,4096,34,2.126124391636125e-05,6.010401638147551e-15, CERTIFIED,229000,P05_UNCORRELATED,50,0.2
a638a6766e65ce20f61909c980c673a59131a9c65ca269f7f9eb3414ed06adea,1338.503155357442,10.0,1865.436651304529,5961113,0,22214519,64,1024,5, SUCCESS_SIGMA2ZERO,1024,40,6.985034652831753e-05,4.212845545941864e-05, CERTIFIED,128000,P05_UNCORRELATED,50,0.2
c44e7f4b3cab1585343240ef2d70257c53e591700a5a5510b55dc937deab3db3,1525.452019385088,10.0,2032.1570682765484,832511,0,8501416,64,1024,5, SUCCESS_SIGMA2ZERO,1024,36,6.37954068680205e-05,6.3905465970302e-14, CERTIFIED,143000,P05_UNCORRELATED,50,0.2
f14d8c78c3e3cd3dff0238f1273a2b9796782b8538cfb60fa3499da7de6ea6d4,1785.3808284860645,10.0,2322.939572059434,5014500,0,25209866,64,2048,6, SUCCESS_SIGMA2ZERO,2048,34,9.84253775357104e-05,-2.1123292975537486e-14, CERTIFIED,198000,P05_UNCORRELATED,50,0.2
51c9a5371a357f0ff2693956c0b00ec98ee2d5d33923486afdaea82fad70019c,2050.164544284524,10.0,2175.4221912503854,15153796,0,21609252,64,2048,6, SUCCESS_SIGMA2ZERO,2048,69,7.807382824092617e-05,-2.7035842834955823e-14, CERTIFIED,291000,P05_UNCORRELATED,50,0.2
8568203d7fdeb0ae5e801f9d9cbffc5bcab74a04969653d20643f37281a0b559,2281.227024915277,10.0,2635.3437206325234,1298022,0,3882477,64,2048,6, SUCCESS_SIGMA2ZERO,2048,43,3.734236071181487e-05,-2.057361316833261e-14, CERTIFIED,208000,P05_UNCORRELATED,50,0.2
6edf823d7351bde6cd88310898b59f452c94f0d724d64b0cd258c755d80b733e,112.63131849856067,10.0,563.1457726378086,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,68,3.0269786938018886e-05,-5.437968122842835e-16, CERTIFIED,134000,P05_WEAKLY_CORRELATED,25,0.1
15edebe68551685432612f69872ca8c4ec1e0558a004c625d3db615c97f12be0,200.6377911389312,10.0,1217.1529415147927,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,300,9.15221403110536e-05,-5.453800545710179e-16, CERTIFIED,432000,P05_WEAKLY_CORRELATED,25,0.1
30fff6bc8037a6f813c984e07b5811ec09e775f5f37a348875a181d37dadb0ff,278.8633363153005,10.0,1323.8031154580008,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,55,8.747545066607741e-05,1.0846465730423666e-05, CERTIFIED,155000,P05_WEAKLY_CORRELATED,25,0.1
650b239d2ed63f3a1e628836b0e6c8626ade6ded6a387be1ee5865394faab3f4,469.97216703269294,10.0,1375.4377717888556,494092,0,960526,64,1024,5, SUCCESS_SIGMA2ZERO,1024,73,8.880641281993053e-05,1.1844282267165742e-14, CERTIFIED,251000,P05_WEAKLY_CORRELATED,25,0.1
4cbe655d7e40ba903bf7bdc00fdd10d1c47d588becef8249fff8e0a5c72feb81,515.9189618187869,10.0,1589.195723415104,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,177,4.8670900191531614e-05,2.5016031544884265e-17, CERTIFIED,363000,P05_WEAKLY_CORRELATED,25,0.1
2f3034523118557e83492b4d7d8fbb0ecbe8a4753e1af801694f5e1676265ec2,669.2975149694981,10.0,1805.7041748400568,456153,0,456153,64,128,2, SUCCESS_SIGMA2ZERO,128,37,8.737547617300963e-05,-2.9874774767512604e-15, CERTIFIED,136000,P05_WEAKLY_CORRELATED,25,0.1
c7dd2fd37e034caccf0bb5d042c56bb885f63a99471c503435726c3612e305a1,907.9861870330462,10.0,1865.167257092588,379784,2076387,2903163,64,16384,9, TIMEOUT,16384,32,0.0001936795114617088,-1.6582075666349317e-13, TIMEOUT,709000,P05_WEAKLY_CORRELATED,25,0.1
dd7e8dfa440d858290f5097d0506f8015d9c89931a83c05944f7c56faa0bcf35,1015.652441537617,10.0,2009.0002707120952,64658,0,472862,64,8192,8, SUCCESS_SIGMA2ZERO,8192,32,7.178319740168635e-05,1.570210961951006e-13, CERTIFIED,611000,P05_WEAKLY_CORRELATED,25,0.1
11b63efb78b026d9e7f96d2231c921a557937ee8d9a1bab9032d95b5d6815f9b,1078.0584145275466,10.0,2176.845315604092,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,72,6.287358879925174e-05,-5.692358475755304e-16, CERTIFIED,236000,P05_WEAKLY_CORRELATED,25,0.1
fe121844db3bb5e963e7b72ae4990f2689b8810f8c0aa0e581dd5c45ed7397e0,1105.9222745163063,10.0,2302.7387871161845,60134,0,183480,64,2048,6, SUCCESS_SIGMA2ZERO,2048,32,1.4568216575959632e-05,2.2614939818188215e-14, CERTIFIED,231000,P05_WEAKLY_CORRELATED,25,0.1
1774666aaaf07de0d4b5afdb689de921638248c12311f53de3aa2f61770c2a0e,112.63131849856067,10.0,545.9212810158949,32964844,0,32964844,64,128,2, SUCCESS_SIGMA2ZERO,128,94,4.048561511074508e-05,4.7343488259031803e-17, CERTIFIED,142000,P05_WEAKLY_CORRELATED,25,0.2
f688c7bbd100a3e1e10de0d70075f5b7ab7a81445aef8dedb699515066081856,200.6377911389312,10.0,1200.1634532729574,5129729,0,8017988,64,1024,5, SUCCESS_SIGMA2ZERO,1024,41,4.720639958496738e-05,-1.2178884281847861e-15, CERTIFIED,121000,P05_WEAKLY_CORRELATED,25,0.2
2d4c8f74c56086ff6a26a52eb401ff382b51e927eb38f8100ad3f6f80630189d,278.8633363153005,10.0,1313.6343948338836,2725074,0,4678749,64,256,3, SUCCESS_SIGMA2ZERO,256,34,7.603675170446793e-05,1.9755809250423392e-15, CERTIFIED,149000,P05_WEAKLY_CORRELATED,25,0.2
a39cc7058175b6c6e6bd5af23a9c83a125e8201283ee14abfa53a131ba57a8c8,469.97216703269294,10.0,1342.9078482474715,15792779,0,15792779,64,1024,5, SUCCESS_SIGMA2ZERO,1024,347,0.0003583112419144432,7.579253432660656e-06, TIMEOUT,601000,P05_WEAKLY_CORRELATED,25,0.2
954c360b4972ec3400b057f7ca11f7eaa6e48046933bdef8d8296d9e86e7a972,515.9189618187869,10.0,1553.4647460255558,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,222,6.55260375559331e-05,2.0793804458051054e-17, CERTIFIED,409000,P05_WEAKLY_CORRELATED,25,0.2
d2f1dc916fc762ef87b844652b0fe986561e50ed64e618e30d1ba52cfefefea4,669.2975149694981,10.0,1779.625936190917,17935879,0,17935879,64,128,2, SUCCESS_SIGMA2ZERO,128,47,7.272030350883107e-05,4.487765919671555e-16, CERTIFIED,114000,P05_WEAKLY_CORRELATED,25,0.2
e593016e709588b5ced18cd8a649005bbdbca217d5abe1cd53bc5ad35e12dfc7,907.9861870330462,10.0,1803.6560233448497,11742079,0,72427400,64,1024,5, SUCCESS_SIGMA2ZERO,1024,259,0.0009906481669572842,1.6411553956958188e-05, TIMEOUT,600000,P05_WEAKLY_CORRELATED,25,0.2
40940cc3dc5c847e6ff531d3c39a6fdb4ec6893cbb223fa631cbcec70bdd2ef8,1015.652441537617,10.0,1980.0626771519217,6533319,4362310,22593447,64,16384,9, NCAP,16384,32,0.0002696375730399056,5.387796380279092e-05, TIMEOUT,1012000,P05_WEAKLY_CORRELATED,25,0.2
6cce107a405b638a2817feac3e2616d4fc0b0eacd9db6c5e002fcfa3787ac330,1078.0584145275466,10.0,2127.8970359725945,53926602,0,75235911,64,256,3, SUCCESS_SIGMA2ZERO,256,72,8.231146602036831e-05,-1.7984075986297585e-15, CERTIFIED,211000,P05_WEAKLY_CORRELATED,25,0.2
243a89235d27790f044f0c29862ea09466fc2ba57b1457766c70ee4a90ccb7a9,1105.9222745163063,10.0,2286.889088348722,4213319,0,5739131,64,512,4, SUCCESS_SIGMA2ZERO,512,92,2.837098909925546e-06,1.95350358482252e-07, CERTIFIED,316000,P05_WEAKLY_CORRELATED,25,0.2
05a061189db435e271125771cab9bed1424f3a590ebf6b5cf9699234c70d681c,228.73978263130465,10.0,1194.6746904230804,8323178,0,9697085,64,256,3, SUCCESS_SIGMA2ZERO,256,40,9.74579416063369e-05,-6.359692051016306e-16, CERTIFIED,167000,P05_WEAKLY_CORRELATED,50,0.1
79a4ce9b0a8bae01f8b8af26d78fab2650c3e99059655222546bb7e9ac3312eb,406.38790560144446,10.0,2298.194394741789,737919,0,737919,64,512,4, SUCCESS_SIGMA2ZERO,512,34,9.234073340784444e-05,-2.8723762722234165e-15, CERTIFIED,244000,P05_WEAKLY_CORRELATED,50,0.1
7a393ca09aee2e608ac9dafb1ef1a47d774ebacb1925a1523dda03fca1b1a4ee,614.3128876307193,10.0,2512.356844737539,3050342,0,3050342,64,128,2, SUCCESS_SIGMA2ZERO,128,121,5.7822270998790414e-05,-1.5782823611333072e-15, CERTIFIED,541000,P05_WEAKLY_CORRELATED,50,0.1
d7f26ec43e8d54d0312f2ce80910d7967d8ef69177394967afc47c12749afe0d,1009.7007378229551,10.0,2839.181156307736,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,175,0.0006469067680139735,2.6468981683459923e-05, TIMEOUT,600000,P05_WEAKLY_CORRELATED,50,0.1
4e2abd93e285a3fce5ac41eba9fa75b65df069bd8c56985167a3394aabbed79d,1190.3954267643592,10.0,3104.4189546944044,1871666,2315613,2576814,64,8192,8, TIMEOUT,8192,32,0.00019133138390734893,8.267974488493765e-14, TIMEOUT,674000,P05_WEAKLY_CORRELATED,50,0.1
ae9bb61894340c5bdba251def88af2141a769378903e688ab7ecadadc1f72886,1214.7348905944316,10.0,3638.816483274394,9951948,0,13438482,64,256,3, SUCCESS_SIGMA2ZERO,256,100,9.150860443065646e-05,4.533517777616126e-06, CERTIFIED,556000,P05_WEAKLY_CORRELATED,50,0.1
eea63ae35df2ce2c44f9c8fb6fbe9cd6c535641a98c65958402bc55856105fa7,1459.004268430867,10.0,3953.1124385261783,261409,220891,682250,64,8192,8, NCAP,8192,32,2.5087281688262724e-05,1.0876684946804328e-05, CERTIFIED,823000,P05_WEAKLY_CORRELATED,50,0.1
ed4be04cdde454ad479212786071804878f1ea420473b9dfecf3dbf320670e22,1914.487249425419,10.0,3742.2834582580263,1404913,1607135,1742355,64,8192,8, NCAP,8192,32,3.918750607104601e-06,2.132302211466127e-05, CERTIFIED,657000,P05_WEAKLY_CORRELATED,50,0.1
92471947c720c74baa4063106f60b920e78900bc1a85b559e3edca6847cccd61,1890.1455097973376,10.0,4438.439280114118,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,102,0.0003164096917832079,3.530140538831002e-05, TIMEOUT,600000,P05_WEAKLY_CORRELATED,50,0.1
c62b9dcd842dac0ed08539bc9af25cc715f2d039b2a6265c22747f9811cf2593,2446.4976322205694,10.0,4608.396815096487,4722784,0,4722784,64,4096,7, SUCCESS_SIGMA2ZERO,4096,33,5.799912553247277e-05,-3.5114576142309066e-14, CERTIFIED,386000,P05_WEAKLY_CORRELATED,50,0.1
acbf179f5966daecf8d0a11314f0ee03103d8fa66f864d5de0155b5bac83f595,228.73978263130465,10.0,1169.2438947896592,4282853,31335495,36952653,64,8192,8, NCAP,8192,32,0.0005169550926891163,7.920962665115795e-05, TIMEOUT,820000,P05_WEAKLY_CORRELATED,50,0.2
